COUNTRY,Country,EMPSTAT,Employment status,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,TE,Total employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1779.7,,
AUS,Australia,TE,Total employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1746.4,,
AUS,Australia,TE,Total employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1741.9,,
AUS,Australia,TE,Total employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1734.9,,
AUS,Australia,TE,Total employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1733.64,,
AUS,Australia,TE,Total employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1732,,
AUS,Australia,TE,Total employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1721.7,,
AUS,Australia,TE,Total employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1722.59999999999,,
AUS,Australia,TE,Total employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1720.8,,
AUS,Australia,TE,Total employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1692.09999999999,,
AUS,Australia,TE,Total employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1699.7,,
AUS,Australia,TE,Total employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1699.2,,
AUS,Australia,TE,Total employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1691.9,,
AUS,Australia,TE,Total employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1689.59997558593,,
AUS,Australia,TE,Total employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1682.69995117187,,
AUS,Australia,TE,Total employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1682.90002441406,,
AUS,Australia,TE,Total employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1672.19995117187,,
AUS,Australia,TE,Total employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1675.90002441406,,
AUT,Austria,DE,Dependent employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1528,,
AUT,Austria,DE,Dependent employment,A,Annual,2001,2001,HOUR,Hours,0,Units,,,1521,,
AUT,Austria,DE,Dependent employment,A,Annual,2002,2002,HOUR,Hours,0,Units,,,1517,,
AUT,Austria,DE,Dependent employment,A,Annual,2003,2003,HOUR,Hours,0,Units,,,1510,,
AUT,Austria,DE,Dependent employment,A,Annual,2004,2004,HOUR,Hours,0,Units,,,1516,,
AUT,Austria,DE,Dependent employment,A,Annual,2005,2005,HOUR,Hours,0,Units,,,1505,,
AUT,Austria,DE,Dependent employment,A,Annual,2006,2006,HOUR,Hours,0,Units,,,1492,,
AUT,Austria,DE,Dependent employment,A,Annual,2007,2007,HOUR,Hours,0,Units,,,1489,,
AUT,Austria,DE,Dependent employment,A,Annual,2008,2008,HOUR,Hours,0,Units,,,1493,,
AUT,Austria,DE,Dependent employment,A,Annual,2009,2009,HOUR,Hours,0,Units,,,1456,,
AUT,Austria,DE,Dependent employment,A,Annual,2010,2010,HOUR,Hours,0,Units,,,1455,,
AUT,Austria,DE,Dependent employment,A,Annual,2011,2011,HOUR,Hours,0,Units,,,1456,,
AUT,Austria,DE,Dependent employment,A,Annual,2012,2012,HOUR,Hours,0,Units,,,1441,,
AUT,Austria,DE,Dependent employment,A,Annual,2013,2013,HOUR,Hours,0,Units,,,1431,,
AUT,Austria,DE,Dependent employment,A,Annual,2014,2014,HOUR,Hours,0,Units,,,1426,,
AUT,Austria,DE,Dependent employment,A,Annual,2015,2015,HOUR,Hours,0,Units,,,1408,,
AUT,Austria,DE,Dependent employment,A,Annual,2016,2016,HOUR,Hours,0,Units,,,1419,,
AUT,Austria,DE,Dependent employment,A,Annual,2017,2017,HOUR,Hours,0,Units,,,1419,,
AUT,Austria,TE,Total employment,A,Annual,2000,2000,HOUR,Hours,0,Units,,,1654,,
